country,week,cases,log_cum_cases,first_diff_log_cases,week_count
Liechtenstein,4,11671,9.364862411412354,0.054586210823570624,7
Liechtenstein,5,12681,9.447860089234899,0.08299767782254541,8
Liechtenstein,6,13789,9.531626451841742,0.083766362606843,9
Liechtenstein,7,15043,9.618668045697824,0.08704159385608179,10
Liechtenstein,8,15889,9.673382324888367,0.05471427919054328,11
Liechtenstein,9,16429,9.706803344906337,0.03342102001797009,12
Liechtenstein,10,16702,9.723283751713176,0.016480406806838488,13
Liechtenstein,11,16946,9.73778709675841,0.01450334504523454,14
Liechtenstein,12,17064,9.744726260151186,0.006939163392775782,15
Liechtenstein,13,17171,9.750977193313803,0.006250933162617045,16
Liechtenstein,14,17260,9.756146964637418,0.00516977132361518,17
Liechtenstein,15,17329,9.760136677640245,0.003989713002827244,18
Liechtenstein,16,17392,9.763765609360991,0.003628931720745854,19
Liechtenstein,17,17428,9.765833387237333,0.002067777876341381,20
Liechtenstein,18,17532,9.7717830615387,0.0059496743013678355,21
Liechtenstein,19,17605,9.775938231589153,0.004155170050452739,22
Liechtenstein,20,17653,9.778661019589283,0.0027227880001294835,23
Liechtenstein,21,17814,9.787739943991815,0.009078924402531996,24
Liechtenstein,22,17935,9.794509389966382,0.006769445974567745,25
Liechtenstein,23,18141,9.805929848941323,0.011420458974940928,26
Liechtenstein,24,18335,9.816567080505427,0.0106372315641039,27
Liechtenstein,25,18478,9.824336114230691,0.007769033725264052,28
Liechtenstein,26,18678,9.835101639669663,0.01076552543897158,29
Liechtenstein,27,18805,9.841878070904437,0.006776431234774449,30
Liechtenstein,28,18907,9.847287502847928,0.005409431943490972,31
Liechtenstein,29,18985,9.851404472665903,0.004116969817975047,32
Liechtenstein,30,19086,9.8567103609772,0.005305888311296414,33
Liechtenstein,31,19183,9.861779749136337,0.005069388159137489,34
Liechtenstein,32,19285,9.867082870642328,0.00530312150599066,35
Liechtenstein,33,19419,9.874007247213619,0.006924376571291191,36
Liechtenstein,34,19490,9.877656792501606,0.0036495452879865553,37
Liechtenstein,35,19713,9.889033595565978,0.01137680306437261,38
Liechtenstein,36,20077,9.90733016025358,0.01829656468760099,39
Liechtenstein,37,20325,9.919606934416011,0.012276774162431892,40
Liechtenstein,38,20509,9.928619093173733,0.009012158757721878,41
Liechtenstein,39,20607,9.933386102881991,0.004767009708258385,42
Liechtenstein,40,20663,9.936099940263604,0.0027138373816129047,43
Liechtenstein,41,20750,9.940301525658844,0.0042015853952399596,44
Liechtenstein,42,20815,9.943429159629076,0.003127633970231969,45
Liechtenstein,43,20874,9.946259644379998,0.0028304847509215136,46
Liechtenstein,44,20984,9.95151552154671,0.005255877166712608,47
Liechtenstein,45,21077,9.955937677537047,0.004422155990337018,48
Liechtenstein,46,21170,9.96034036412891,0.004402686591863159,49
Liechtenstein,47,5896,8.682029433869172,-1.2783109302597389,50
Liechtenstein,48,6131,8.721113147762688,0.0390837138935165,51
Liechtenstein,49,6131,8.721113147762688,0,52
Lithuania,-3,542456,13.2038622551167,NA,0
Lithuania,-2,568737,13.251173391843212,0.04731113672651155,1
Lithuania,-1,609126,13.319780421843618,0.0686070300004058,2
Lithuania,0,673034,13.419551127410205,0.09977070556658774,3
Lithuania,1,760533,13.541774782244987,0.12222365483478193,4
